City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
148,Meulaboh,ID,76.5,light rain,4.1363,96.1285,Kost Pria
150,Agua Branca,BR,82.06,moderate rain,-5.8922,-42.6361,Água branca do Piauí pi
153,Coahuayana,MX,88.66,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
157,Tado,CO,80.42,overcast clouds,5.266,-76.5649,Onney Quinto Renteria
160,Bengkulu,ID,76.39,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
161,Belawan,ID,79.09,overcast clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
165,Acari,PE,84.33,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
167,Cidreira,BR,82.38,scattered clouds,-30.1811,-50.2056,Hotel Castelo
168,Katobu,ID,75.99,overcast clouds,-4.9408,122.5276,La Ode Husein
177,Moron,AR,78.98,overcast clouds,-34.6534,-58.6198,Hotel Morón
178,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
179,General Roca,AR,79.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
180,Bandarbeyla,SO,77.61,clear sky,9.4942,50.8122,JABIR HOTEL
184,Kattivakkam,IN,82.08,overcast clouds,13.2167,80.3167,Euronova Freezer
187,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
188,Maraa,BR,76.32,overcast clouds,-1.8333,-65.3667,
189,Dingle,PH,75.11,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
191,Raga,SS,85.62,clear sky,8.4596,25.678,
193,Festus,US,77.32,overcast clouds,38.2206,-90.396,"Holiday Inn Express & Suites Festus - South St. Louis, an IHG Hotel"
