City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
242,Sao Joao Da Barra,BR,2022-03-05 18:52:34,-21.6403,-41.0511,89.69,72,1,13.49,clear sky
243,Koulikoro,ML,2022-03-05 19:01:04,14.0,-7.75,78.94,11,0,6.11,clear sky
244,Porbandar,IN,2022-03-05 18:57:50,21.6422,69.6093,76.41,38,1,9.37,clear sky
245,Funadhoo,MV,2022-03-05 19:01:05,6.15,73.2667,81.07,71,0,4.79,clear sky
246,Port-Cartier,CA,2022-03-05 19:01:05,50.0334,-66.8654,20.75,69,100,11.97,overcast clouds
247,Sao Raimundo Nonato,BR,2022-03-05 19:01:05,-9.0153,-42.6994,83.62,59,99,4.65,overcast clouds
248,Belmonte,BR,2022-03-05 19:01:06,-15.8631,-38.8828,82.9,69,94,7.9,overcast clouds
249,Urucara,BR,2022-03-05 19:01:06,-2.5364,-57.76,75.72,96,99,3.44,light rain
250,Muros,ES,2022-03-05 19:01:07,42.7762,-9.0603,54.23,55,43,18.16,scattered clouds
251,Lagos,NG,2022-03-05 18:57:43,6.5833,3.75,86.32,77,13,6.42,few clouds
252,Grindavik,IS,2022-03-05 19:01:07,63.8424,-22.4338,36.07,100,100,16.11,mist
253,Yarke Pole,UA,2022-03-05 19:01:08,45.608,34.3172,35.35,77,100,8.84,overcast clouds
254,Yulara,AU,2022-03-05 19:01:08,-25.2406,130.9889,71.73,41,0,17.52,clear sky
255,Sao Filipe,CV,2022-03-05 19:01:08,14.8961,-24.4956,73.31,66,0,14.72,clear sky
256,Novoagansk,RU,2022-03-05 19:01:09,61.9449,76.6625,-25.26,100,72,4.9,broken clouds
257,Hami,CN,2022-03-05 18:51:16,42.8,93.45,41.4,47,0,0.69,clear sky
258,Ouango,CF,2022-03-05 19:01:09,4.3133,22.5552,81.52,46,97,2.37,overcast clouds
259,Vardo,NO,2022-03-05 18:51:22,70.3705,31.1107,26.71,86,100,10.98,overcast clouds
260,Severomorsk,RU,2022-03-05 19:01:10,69.0689,33.4162,21.6,95,100,5.48,overcast clouds
